Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EMX,EMX Royalty Corporation Common Shares (Canada),$3.10,0.01,0.324%,265503059.00,Canada,,97018,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$1.56,-0.09,-5.455%,17835053.00,United States,,313486,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.90,0.00,0.00%,233725993.00,United States,2002,5259,Finance,Finance/Investors Services
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.85,-0.12,-2.414%,162511142.00,United States,,130405,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$6.95,0.04,0.579%,2077184607.00,Canada,,2061063,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.86,-0.02,-0.155%,360949323.00,United States,2003,174719,Finance,Finance/Investors Services
ERH,Wells Fargo Utilities and High Income Fund,$14.38,-0.02,-0.139%,133465957.00,,2004,11722,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$15.0499,0.1799,1.21%,40674356.00,United States,,1176,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$37.35,0.19,0.511%,202945109.00,United States,,14078,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$28.76,0.04,0.139%,352545055.00,United States,,10443,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.08,0.10,0.835%,301931615.00,United States,2002,27310,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$13.30,0.05,0.377%,1544755339.00,United States,2003,466365,Finance,Finance/Investors Services
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$15.01,-0.09,-0.596%,81081438.00,United States,1999,11128,Finance,Finance/Investors Services
EXN,Excellon Resources Inc. Common Shares,$2.25,0.052,2.366%,72860882.00,,2020,54889,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.43,0.00,0.00%,1097292252.00,United States,1986,612247,Finance,Investment Managers
FCO,Aberdeen Global Income Fund Inc. Common Stock,$9.09,0.1508,1.687%,79413076.00,United States,1992,32679,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.85,0.13,0.883%,288766715.00,United States,2004,31247,Finance,Finance/Investors Services
FRD,Friedman Industries Inc. Common Stock,$13.63,-0.09,-0.656%,94126722.00,United States,,37198,Basic Industries,Steel/Iron Ore
